Instance,FCFS,SJF,SJF-P,RR
0,24.126871575343614,37.836214077540774,33.972861691629994,18.099943494747595
1,25.336337570952423,8.580341827529278,35.286309629328805,29.86940398320885
2,0.0,9.911218925314644,0.0,21.046519281437103
3,4.593573136106694,0.0,52.1334566184439,32.39323589909769
4,8.698160521280228,7.971607735679335,35.449261630734476,14.280513790510575
5,11.156386658869232,29.376588286921184,37.07328674928779,45.0742927850895
6,0.0,19.446760222545155,27.195793726964194,24.483066333843407
7,45.21513945267869,43.247598958832256,27.352058470773407,22.753499054128405
8,0.0,14.529212510698748,29.13526524109996,35.573914390120926
9,0.0,0,0.0,26.032365818023525
10,0,7.728513902293274,36.588235367905774,17.44953794923318
11,13.85427370694148,11.137713245427284,0,35.36659419324174
12,0.0,31.00821480555262,62.14003482819679,21.694165855812322
13,28.4130150639061,13.152538762124935,33.47624924716218,19.41702043931897
14,15.405391196042208,17.83392435391335,40.18093777504566,27.641194182282963
15,0,13.435828371935758,0.0,26.537986452874
16,13.213446233498829,8.137751843011628,0.0,19.08522618073277
17,24.210009307273452,0,28.34637664793219,4.552185792190478
18,0.0,12.379273950836788,30.99958353579867,22.31407192617828
19,37.87318564240342,22.949159546942962,0,30.017783588616155
20,54.55223382934119,40.56603481983836,39.136592240139585,28.560701345333523
21,0.0,19.867494345744575,31.611247935315905,30.083537748950903
22,1.2004842184814046,12.078634243949503,0.0,29.92700744427458
23,0,28.18989108607283,0.0,31.52448376139294
24,44.327498518802045,16.850728574616404,6.314738868538508,26.802306778765043
25,36.09542822808282,24.648134397989402,32.10480020956088,19.902788256658564
26,0.0,8.429921017966924,0.0,26.90208936421634
27,0.0,42.631125081152256,20.101257522889785,19.72012663437519
28,0,12.870724057542308,0.0,25.919543565024398
29,22.401905667572898,24.566671376031337,0.0,40.67624564562534
30,11.280154621665975,15.585460218455886,55.58051666917724,25.640582322530623
31,33.027773350259004,7.941528864768037,20.52772865222177,29.164073660293873
32,32.590919169543554,0,0.0,33.46183743018808
33,5.242876786747457,9.093973464621238,0.0,21.728295086087126
34,5.339980970546137,7.662151192288753,28.408288102395023,39.178314173843106
35,28.922019722709475,39.632213148282226,46.902659076586474,37.64838668312437
36,35.24345828110782,0,56.92082714829169,25.232445640854223
37,0.0,27.629055473814457,44.05738906919912,17.394472894760412
38,0.0,14.33159097557457,31.748225209331256,23.850534389112013
39,0.0,46.0642589354264,33.009459972418654,20.981689721603043
40,0.0,11.862896012078822,42.53535530121862,27.3184199724241
41,19.98844506009032,0,0.0,27.400527336600696
42,4.429172643790619,15.019946957206455,58.71108386832822,20.35562456413367
43,30.57471750052075,15.75194677232528,40.53544199695024,30.047073218624703
44,34.527852794773736,8.304736395747879,0,28.384320978721536
45,0.0,42.62402616888452,22.156032240841643,14.971131012298027
46,0.0,0,28.55163722646333,34.72895584750711
47,46.456343405811104,23.179271933785483,31.9345419794776,23.615609911873715
48,39.051061818660486,0,0.0,24.05702254289259
49,32.33714647696763,24.04656284579976,28.982277524405422,16.887436859206435
50,9.142884154924955,10.75302851624427,0.0,29.109600974417305
51,0,0.0,0.0,29.684057075948783
52,46.855220789232824,13.480060036044677,0.0,28.383830471929596
53,4.63235575781923,28.89335824975154,33.16025890695993,25.85861982721486
54,0.0,0,0.0,13.074696029550962
55,24.34977676303512,18.39709897635987,42.10742050638234,26.177022014696018
56,48.10176841070569,15.699203448626426,36.840481153176086,34.416029626187814
57,38.07044131116609,17.213260584551783,45.10099227361625,19.674686580837342
